Lineage,Parent,Label
B.1.1.450,B,Not a VOC
B.1.1.453,B,Not a VOC
B.1.1.458,B,Not a VOC
B.1.1.459,B,Not a VOC
B.1.1.46,B,Not a VOC
B.1.1.461,B,Not a VOC
B.1.1.463,B,Not a VOC
B.1.1.464,B,Not a VOC
B.1.1.467,B,Not a VOC
B.1.1.47,B,Not a VOC
B.1.1.48,B,Not a VOC
B.1.1.480,B,Not a VOC
B.1.1.482,B,Not a VOC
B.1.1.485,B,Not a VOC
B.1.1.486,B,Not a VOC
B.1.1.487,B,Not a VOC
B.1.1.49,B,Not a VOC
B.1.1.5,B,Not a VOC
B.1.1.50,B,Not a VOC
B.1.1.500,B,Not a VOC
B.1.1.506,B,Not a VOC
B.1.1.507,B,Not a VOC
B.1.1.51,B,Not a VOC
B.1.1.512,B,Not a VOC
B.1.1.513,B,Not a VOC
B.1.1.514,B,Not a VOC
B.1.1.517,B,Not a VOC
B.1.1.518,B,Not a VOC
B.1.1.519,B,Not a VOC
B.1.1.521,B,Not a VOC
B.1.1.523,B,Not a VOC
B.1.1.524,B,Not a VOC
B.1.1.525,B,Not a VOC
B.1.1.528,B,Not a VOC
B.1.1.529,B,Not a VOC
B.1.1.54,B,Not a VOC
B.1.1.55,B,Not a VOC
B.1.1.57,B,Not a VOC
B.1.1.58,B,Not a VOC
B.1.1.59,B,Not a VOC
B.1.1.61,B,Not a VOC
B.1.1.63,B,Not a VOC
B.1.1.67,B,Not a VOC
B.1.1.7,B.1.1.7,Alpha
B.1.1.70,B,Not a VOC
B.1.1.71,B,Not a VOC
B.1.1.72,B,Not a VOC
B.1.1.74,B,Not a VOC
B.1.1.75,B,Not a VOC
B.1.1.77,B,Not a VOC
B.1.1.8,B,Not a VOC
B.1.1.82,B,Not a VOC
B.1.1.83,B,Not a VOC
B.1.1.86,B,Not a VOC
B.1.1.88,B,Not a VOC
B.1.1.89,B,Not a VOC
B.1.1.92,B,Not a VOC
B.1.1.93,B,Not a VOC
B.1.1.95,B,Not a VOC
B.1.1.97,B,Not a VOC
B.1.1.98,B,Not a VOC
B.1.103,B,Not a VOC
B.1.104,B,Not a VOC
B.1.105,B,Not a VOC
B.1.106,B,Not a VOC
B.1.108,B,Not a VOC
B.1.110,B,Not a VOC
B.1.110.1,B,Not a VOC
B.1.110.2,B,Not a VOC
B.1.110.3,B,Not a VOC
B.1.111,B,Not a VOC
B.1.112,B,Not a VOC
B.1.113,B,Not a VOC
B.1.115,B,Not a VOC
B.1.116,B,Not a VOC
B.1.117,B,Not a VOC
B.1.12,B,Not a VOC
B.1.120,B,Not a VOC
B.1.124,B,Not a VOC
B.1.126,B,Not a VOC
B.1.127,B,Not a VOC
B.1.128,B,Not a VOC
B.1.13,B,Not a VOC
B.1.131,B,Not a VOC
B.1.134,B,Not a VOC
B.1.137,B,Not a VOC
B.1.139,B,Not a VOC
B.1.14,B,Not a VOC
B.1.142,B,Not a VOC
B.1.143,B,Not a VOC
B.1.145,B,Not a VOC
B.1.146,B,Not a VOC
B.1.147,B,Not a VOC
B.1.151,B,Not a VOC
B.1.153,B,Not a VOC
B.1.157,B,Not a VOC
B.1.159,B,Not a VOC
B.1.160,B,Not a VOC
B.1.160.10,B,Not a VOC
B.1.160.11,B,Not a VOC
B.1.160.12,B,Not a VOC
B.1.160.13,B,Not a VOC
B.1.160.15,B,Not a VOC
B.1.160.19,B,Not a VOC
B.1.160.20,B,Not a VOC
B.1.160.22,B,Not a VOC
B.1.160.23,B,Not a VOC
B.1.160.25,B,Not a VOC
B.1.160.26,B,Not a VOC
B.1.160.28,B,Not a VOC
B.1.160.29,B,Not a VOC
B.1.160.30,B,Not a VOC
B.1.160.31,B,Not a VOC
B.1.160.32,B,Not a VOC
B.1.160.33,B,Not a VOC
B.1.160.7,B,Not a VOC
B.1.160.9,B,Not a VOC
B.1.161,B,Not a VOC
B.1.162,B,Not a VOC
B.1.163,B,Not a VOC
B.1.164,B,Not a VOC
B.1.165,B,Not a VOC
B.1.166,B,Not a VOC
B.1.167,B,Not a VOC
B.1.168,B,Not a VOC
B.1.170,B,Not a VOC
B.1.173,B,Not a VOC
B.1.177,B,Not a VOC
B.1.177.10,B,Not a VOC
B.1.177.11,B,Not a VOC
B.1.177.12,B,Not a VOC
B.1.177.15,B,Not a VOC
B.1.177.16,B,Not a VOC
B.1.177.17,B,Not a VOC
B.1.177.18,B,Not a VOC
B.1.177.19,B,Not a VOC
B.1.177.2,B,Not a VOC
B.1.177.20,B,Not a VOC
B.1.177.21,B,Not a VOC
B.1.177.23,B,Not a VOC
B.1.177.24,B,Not a VOC
B.1.177.25,B,Not a VOC
B.1.177.26,B,Not a VOC
B.1.177.28,B,Not a VOC
B.1.177.3,B,Not a VOC
B.1.177.30,B,Not a VOC
B.1.177.31,B,Not a VOC
B.1.177.32,B,Not a VOC
B.1.177.33,B,Not a VOC
B.1.177.35,B,Not a VOC
B.1.177.39,B,Not a VOC
B.1.177.4,B,Not a VOC
B.1.177.40,B,Not a VOC
B.1.177.43,B,Not a VOC
B.1.177.44,B,Not a VOC
B.1.177.45,B,Not a VOC
B.1.177.47,B,Not a VOC
B.1.177.48,B,Not a VOC
B.1.177.5,B,Not a VOC
B.1.177.50,B,Not a VOC
B.1.177.51,B,Not a VOC
B.1.177.52,B,Not a VOC
B.1.177.53,B,Not a VOC
B.1.177.54,B,Not a VOC
B.1.177.55,B,Not a VOC
B.1.177.56,B,Not a VOC
B.1.177.57,B,Not a VOC
B.1.177.58,B,Not a VOC
B.1.177.59,B,Not a VOC
B.1.177.6,B,Not a VOC
B.1.177.60,B,Not a VOC
B.1.177.62,B,Not a VOC
B.1.177.63,B,Not a VOC
B.1.177.65,B,Not a VOC
B.1.177.67,B,Not a VOC
B.1.177.69,B,Not a VOC
B.1.177.7,B,Not a VOC
B.1.177.71,B,Not a VOC
B.1.177.72,B,Not a VOC
B.1.177.73,B,Not a VOC
B.1.177.74,B,Not a VOC
B.1.177.75,B,Not a VOC
B.1.177.76,B,Not a VOC
B.1.177.77,B,Not a VOC
B.1.177.8,B,Not a VOC
B.1.177.81,B,Not a VOC
B.1.177.82,B,Not a VOC
B.1.177.83,B,Not a VOC
B.1.177.84,B,Not a VOC
B.1.177.85,B,Not a VOC
B.1.177.86,B,Not a VOC
B.1.177.87,B,Not a VOC
B.1.177.89,B,Not a VOC
B.1.177.9,B,Not a VOC
B.1.178,B,Not a VOC
B.1.179,B,Not a VOC
B.1.180,B,Not a VOC
B.1.181,B,Not a VOC
B.1.182,B,Not a VOC
B.1.184,B,Not a VOC
B.1.187,B,Not a VOC
B.1.188,B,Not a VOC
B.1.189,B,Not a VOC
B.1.190,B,Not a VOC
B.1.194,B,Not a VOC
B.1.195,B,Not a VOC
B.1.198,B,Not a VOC
B.1.199,B,Not a VOC
B.1.2,B,Not a VOC
B.1.201,B,Not a VOC
B.1.203,B,Not a VOC
B.1.205,B,Not a VOC
B.1.206,B,Not a VOC
B.1.208,B,Not a VOC
B.1.210,B,Not a VOC
B.1.211,B,Not a VOC
B.1.213,B,Not a VOC
B.1.214,B,Not a VOC
B.1.215,B,Not a VOC
B.1.218,B,Not a VOC
B.1.219,B,Not a VOC
B.1.22,B,Not a VOC
B.1.220,B,Not a VOC
B.1.221,B,Not a VOC
B.1.221.1,B,Not a VOC
B.1.221.2,B,Not a VOC
B.1.221.3,B,Not a VOC
B.1.221.4,B,Not a VOC
B.1.222,B,Not a VOC
B.1.223,B,Not a VOC
B.1.225,B,Not a VOC
B.1.229,B,Not a VOC
B.1.23,B,Not a VOC
B.1.231,B,Not a VOC
B.1.232,B,Not a VOC
B.1.233,B,Not a VOC
B.1.234,B,Not a VOC
B.1.235,B,Not a VOC
B.1.236,B,Not a VOC
B.1.238,B,Not a VOC
B.1.239,B,Not a VOC
B.1.240,B,Not a VOC
B.1.240.2,B,Not a VOC
B.1.241,B,Not a VOC
B.1.243,B,Not a VOC
B.1.243.1,B,Not a VOC
B.1.243.2,B,Not a VOC
B.1.245,B,Not a VOC
B.1.248,B,Not a VOC
B.1.249,B,Not a VOC
B.1.250,B,Not a VOC
B.1.251,B,Not a VOC
B.1.252,B,Not a VOC
B.1.254,B,Not a VOC
B.1.256,B,Not a VOC
B.1.258,B,Not a VOC
B.1.258.10,B,Not a VOC
B.1.258.11,B,Not a VOC
B.1.258.12,B,Not a VOC
B.1.258.14,B,Not a VOC
B.1.258.17,B,Not a VOC
B.1.258.2,B,Not a VOC
